open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-18 11:55:00,103804.83,103804.83,103795.97,103795.97,0.00219,1737201599999,227.32680030,5,0.00219000,227.32680030,0
2025-01-18 12:00:00,103577.57,103577.57,103577.57,103577.57,0.02425,1737201899999,2511.75607250,4,0.00000000,0.00000000,0
2025-01-18 12:05:00,103756.36,103756.36,103526.73,103526.73,0.00185,1737202199999,191.56998670,3,0.00019000,19.71370840,0
2025-01-18 12:10:00,103744.77,103744.77,103744.68,103744.68,0.00264,1737202499999,273.88595700,2,0.00264000,273.88595700,0
2025-01-18 12:15:00,103741.7,103741.7,103741.7,103741.7,0.01299,1737202799999,1347.60468300,4,0.01299000,1347.60468300,0
2025-01-18 12:20:00,103824.6,103950.5,103824.6,103950.5,0.02901,1737203099999,3013.41365240,19,0.02901000,3013.41365240,0
2025-01-18 12:25:00,103974.96,103974.96,103616.88,103616.88,0.01103,1737203399999,1143.45564620,5,0.00019000,19.75524240,0
2025-01-18 12:30:00,103964.91,103964.91,103600.89,103600.89,0.0054,1737203699999,559.45336740,5,0.00002000,2.07929820,0
2025-01-18 12:35:00,103600.89,103942.9,103339.71,103339.71,0.03088,1737203999999,3200.02038890,12,0.00307000,319.07278490,0
2025-01-18 12:40:00,103762.07,103762.07,103340.95,103340.95,0.00306,1737204299999,316.28647500,2,0.00015000,15.56431050,0
2025-01-18 12:45:00,103340.95,103340.95,103340.95,103340.95,0.0,1737204599999,0.00000000,0,0.00000000,0.00000000,0
2025-01-18 12:50:00,103340.95,103340.95,103340.95,103340.95,0.0,1737204899999,0.00000000,0,0.00000000,0.00000000,0
2025-01-18 12:55:00,103599.59,103599.59,103599.59,103599.59,0.00029,1737205199999,30.04388110,1,0.00029000,30.04388110,0
2025-01-18 13:00:00,103500.4,103500.4,103500.0,103500.0,0.09434,1737205499999,9764.19934600,13,0.00000000,0.00000000,0
2025-01-18 13:05:00,103348.55,103537.63,103233.74,103233.74,0.0075,1737205799999,774.85917320,10,0.00049000,50.73343870,0
2025-01-18 13:10:00,103209.33,103209.33,103209.33,103209.33,0.00036,1737206099999,37.15535880,1,0.00000000,0.00000000,0
2025-01-18 13:15:00,103209.33,103209.33,103209.33,103209.33,0.0,1737206399999,0.00000000,0,0.00000000,0.00000000,0
2025-01-18 13:20:00,103500.43,103500.43,103497.55,103497.55,5e-05,1737206699999,5.17499270,2,0.00005000,5.17499270,0
